sss_year,filing_status,bracket_num,lower_limit,upper_limit,rate
2025,single_adult,1,0,11925,0.1
2025,single_adult,2,11926,48475,0.12
2025,single_adult,3,48476,103350,0.22
2025,single_adult,4,103351,197300,0.24
2025,single_adult,5,197301,Inf,0.32
2025,single_parent,1,0,17000,0.1
2025,single_parent,2,17001,64850,0.12
2025,single_parent,3,64851,103350,0.22
2025,single_parent,4,103351,197300,0.24
2025,single_parent,5,197301,Inf,0.32
2025,married,1,0,23850,0.1
2025,married,2,23851,96950,0.12
2025,married,3,96951,206700,0.22
2025,married,4,206701,394600,0.24
2025,married,5,394601,Inf,0.32
2026,single_adult,1,0,12400,0.1
2026,single_adult,2,12401,50400,0.12
2026,single_adult,3,50401,105700,0.22
2026,single_adult,4,105701,201775,0.24
2026,single_adult,5,201776,Inf,0.32
2026,single_parent,1,0,17700,0.1
2026,single_parent,2,17701,67450,0.12
2026,single_parent,3,67451,105700,0.22
2026,single_parent,4,105701,201750,0.24
2026,single_parent,5,201751,Inf,0.32
2026,married,1,0,24800,0.1
2026,married,2,24801,100800,0.12
2026,married,3,100801,211400,0.22
2026,married,4,211401,403550,0.24
2026,married,5,403551,Inf,0.32
